api_key,market,namespace,field,group,adoption_priority,adoption_mode,dataset_lane,quality_gate,replaces_twse_tpex_primary,stockvision_use
institutional_investors_trading_summary:外資自營商買進股數,tw,institutional_investors_trading_summary,外資自營商買進股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:外資自營商賣出股數,tw,institutional_investors_trading_summary,外資自營商賣出股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:外資自營商買賣超股數,tw,institutional_investors_trading_summary,外資自營商買賣超股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:投信買進股數,tw,institutional_investors_trading_summary,投信買進股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:投信賣出股數,tw,institutional_investors_trading_summary,投信賣出股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:投信買賣超股數,tw,institutional_investors_trading_summary,投信買賣超股數,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商買進股數(自行買賣),tw,institutional_investors_trading_summary,自營商買進股數(自行買賣),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商賣出股數(自行買賣),tw,institutional_investors_trading_summary,自營商賣出股數(自行買賣),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商買賣超股數(自行買賣),tw,institutional_investors_trading_summary,自營商買賣超股數(自行買賣),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商買進股數(避險),tw,institutional_investors_trading_summary,自營商買進股數(避險),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商賣出股數(避險),tw,institutional_investors_trading_summary,自營商賣出股數(避險),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
institutional_investors_trading_summary:自營商買賣超股數(避險),tw,institutional_investors_trading_summary,自營商買賣超股數(避險),chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
internal_equity_pledge:董監持股,tw,internal_equity_pledge,董監持股,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:董監設質,tw,internal_equity_pledge,董監設質,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:董監解質,tw,internal_equity_pledge,董監解質,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:董監累計設質,tw,internal_equity_pledge,董監累計設質,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:董監設質股數占比,tw,internal_equity_pledge,董監設質股數占比,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:經理人持股,tw,internal_equity_pledge,經理人持股,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:百分之十以上大股東持有股數,tw,internal_equity_pledge,百分之十以上大股東持有股數,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:經理人及百分之十以上大股東設質股數,tw,internal_equity_pledge,經理人及百分之十以上大股東設質股數,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:經理人及百分之十以上大股東設質股數占比,tw,internal_equity_pledge,經理人及百分之十以上大股東設質股數占比,other,P2,benchmark,research,manual_review,False,research reference
internal_equity_pledge:市場別,tw,internal_equity_pledge,市場別,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:成交股數,tw,intraday_odd_lot_trade,成交股數,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:成交筆數,tw,intraday_odd_lot_trade,成交筆數,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:成交金額,tw,intraday_odd_lot_trade,成交金額,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:收盤價,tw,intraday_odd_lot_trade,收盤價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:開盤價,tw,intraday_odd_lot_trade,開盤價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最低價,tw,intraday_odd_lot_trade,最低價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最高價,tw,intraday_odd_lot_trade,最高價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最後揭示買價,tw,intraday_odd_lot_trade,最後揭示買價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最後揭示賣價,tw,intraday_odd_lot_trade,最後揭示賣價,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最後揭示買量,tw,intraday_odd_lot_trade,最後揭示買量,other,P2,benchmark,research,manual_review,False,research reference
intraday_odd_lot_trade:最後揭示賣量,tw,intraday_odd_lot_trade,最後揭示賣量,other,P2,benchmark,research,manual_review,False,research reference
margin_balance:融資券總買進,tw,margin_balance,融資券總買進,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
margin_balance:融資券總賣出,tw,margin_balance,融資券總賣出,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
margin_balance:現金(券)總償還,tw,margin_balance,現金(券)總償還,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
margin_balance:融資券總餘額,tw,margin_balance,融資券總餘額,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
market_transaction_info:成交股數,tw,market_transaction_info,成交股數,other,P2,benchmark,research,manual_review,False,research reference
market_transaction_info:成交金額,tw,market_transaction_info,成交金額,other,P2,benchmark,research,manual_review,False,research reference
market_transaction_info:成交筆數,tw,market_transaction_info,成交筆數,other,P2,benchmark,research,manual_review,False,research reference
market_transaction_info:收盤指數,tw,market_transaction_info,收盤指數,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:恢復買賣日期,tw,par_value_change_otc,恢復買賣日期,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:最後交易日之收盤價格,tw,par_value_change_otc,最後交易日之收盤價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:恢復買賣開始日參考價,tw,par_value_change_otc,恢復買賣開始日參考價,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:漲停價格,tw,par_value_change_otc,漲停價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:跌停價格,tw,par_value_change_otc,跌停價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:開始交易基準價,tw,par_value_change_otc,開始交易基準價,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_otc:otc_par_value_change_divide_ratio,tw,par_value_change_otc,otc_par_value_change_divide_ratio,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:恢復買賣日期,tw,par_value_change_tse,恢復買賣日期,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:停止買賣前收盤價格,tw,par_value_change_tse,停止買賣前收盤價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:恢復買賣參考價,tw,par_value_change_tse,恢復買賣參考價,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:漲停價格,tw,par_value_change_tse,漲停價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:跌停價格,tw,par_value_change_tse,跌停價格,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:開盤競價基準,tw,par_value_change_tse,開盤競價基準,other,P2,benchmark,research,manual_review,False,research reference
par_value_change_tse:twse_par_value_change_divide_ratio,tw,par_value_change_tse,twse_par_value_change_divide_ratio,other,P2,benchmark,research,manual_review,False,research reference
quality_factor_z_score:profitability,tw,quality_factor_z_score,profitability,other,P2,benchmark,research,manual_review,False,research reference
quality_factor_z_score:growth,tw,quality_factor_z_score,growth,other,P2,benchmark,research,manual_review,False,research reference
quality_factor_z_score:safety,tw,quality_factor_z_score,safety,other,P2,benchmark,research,manual_review,False,research reference
rotc_monthly_revenue:當月營收,tw,rotc_monthly_revenue,當月營收,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:上月營收,tw,rotc_monthly_revenue,上月營收,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:去年當月營收,tw,rotc_monthly_revenue,去年當月營收,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:上月比較增減(%),tw,rotc_monthly_revenue,上月比較增減(%),monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:去年同月增減(%),tw,rotc_monthly_revenue,去年同月增減(%),monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:當月累計營收,tw,rotc_monthly_revenue,當月累計營收,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:去年累計營收,tw,rotc_monthly_revenue,去年累計營收,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:前期比較增減(%),tw,rotc_monthly_revenue,前期比較增減(%),monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_monthly_revenue:備註,tw,rotc_monthly_revenue,備註,monthly revenue,P0,augment,emerging_revenue_diversity,"publication_alignment, restatement_check, no_pending_buy",False,emerging-stock revenue momentum and watchlist context
rotc_price:成交股數,tw,rotc_price,成交股數,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:成交金額,tw,rotc_price,成交金額,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:開盤價,tw,rotc_price,開盤價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:收盤價,tw,rotc_price,收盤價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:最高價,tw,rotc_price,最高價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:最低價,tw,rotc_price,最低價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:日均價,tw,rotc_price,日均價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:成交筆數,tw,rotc_price,成交筆數,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:最後揭示買價,tw,rotc_price,最後揭示買價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
rotc_price:最後揭示賣價,tw,rotc_price,最後揭示賣價,price / OHLCV,P0,augment,emerging_price_diversity,"rotc_market_lane, liquidity_bounds, no_pending_buy",False,"emerging-stock price, liquidity, quote-spread, and watchlist context"
security_lending:前日借券餘額,tw,security_lending,前日借券餘額,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending:借券,tw,security_lending,借券,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending:借券還券,tw,security_lending,借券還券,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending:借券增減,tw,security_lending,借券增減,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending:借券餘額,tw,security_lending,借券餘額,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending_sell:借券賣出,tw,security_lending_sell,借券賣出,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending_sell:借券賣出還券,tw,security_lending_sell,借券賣出還券,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending_sell:借券賣出餘額,tw,security_lending_sell,借券賣出餘額,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
security_lending_sell:借券賣出限額,tw,security_lending_sell,借券賣出限額,chips / institutional flow,P0,augment,chip_diversity,"price_location, liquidity, crowding, extreme_value_winsorization",True,"foreign/trust/dealer flow, margin heat, lending pressure, theme rotation"
stock_index_price:收盤指數,tw,stock_index_price,收盤指數,other,P2,benchmark,research,manual_review,False,research reference
stock_index_price:漲跌百分比(%),tw,stock_index_price,漲跌百分比(%),other,P2,benchmark,research,manual_review,False,research reference
stock_index_vol:成交股數,tw,stock_index_vol,成交股數,other,P2,benchmark,research,manual_review,False,research reference
stock_index_vol:成交金額,tw,stock_index_vol,成交金額,other,P2,benchmark,research,manual_review,False,research reference
stock_index_vol:成交筆數,tw,stock_index_vol,成交筆數,other,P2,benchmark,research,manual_review,False,research reference
taiex_total_index:開盤指數,tw,taiex_total_index,開盤指數,other,P2,benchmark,research,manual_review,False,research reference
taiex_total_index:最高指數,tw,taiex_total_index,最高指數,other,P2,benchmark,research,manual_review,False,research reference
taiex_total_index:最低指數,tw,taiex_total_index,最低指數,other,P2,benchmark,research,manual_review,False,research reference
taiex_total_index:收盤指數,tw,taiex_total_index,收盤指數,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:買回目的,tw,treasury_stock,買回目的,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:買回股份總金額上限,tw,treasury_stock,買回股份總金額上限,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:預定買回股數,tw,treasury_stock,預定買回股數,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:買回價格區間-最低,tw,treasury_stock,買回價格區間-最低,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:買回價格區間-最高,tw,treasury_stock,買回價格區間-最高,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:預定買回期間-起,tw,treasury_stock,預定買回期間-起,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:預定買回期間-迄,tw,treasury_stock,預定買回期間-迄,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:是否執行完畢,tw,treasury_stock,是否執行完畢,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次已買回股數,tw,treasury_stock,本次已買回股數,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次執行完畢已註銷或轉讓股數,tw,treasury_stock,本次執行完畢已註銷或轉讓股數,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次已買回股數佔預定買回股數比例(%),tw,treasury_stock,本次已買回股數佔預定買回股數比例(%),other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次已買回總金額,tw,treasury_stock,本次已買回總金額,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次平均每股買回價格,tw,treasury_stock,本次平均每股買回價格,other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次買回股數佔公司已發行股份總數比例(%),tw,treasury_stock,本次買回股數佔公司已發行股份總數比例(%),other,P2,benchmark,research,manual_review,False,research reference
treasury_stock:本次未執行完畢之原因,tw,treasury_stock,本次未執行完畢之原因,other,P2,benchmark,research,manual_review,False,research reference
tw_business_indicators:景氣對策信號(分),tw,tw_business_indicators,景氣對策信號(分),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:領先指標綜合指數(點),tw,tw_business_indicators,領先指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:領先指標不含趨勢指數(點),tw,tw_business_indicators,領先指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:同時指標綜合指數(點),tw,tw_business_indicators,同時指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:同時指標不含趨勢指數(點),tw,tw_business_indicators,同時指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:落後指標綜合指數(點),tw,tw_business_indicators,落後指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators:落後指標不含趨勢指數(點),tw,tw_business_indicators,落後指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:領先指標綜合指數(點),tw,tw_business_indicators_details,領先指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:領先指標不含趨勢指數(點),tw,tw_business_indicators_details,領先指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:外銷訂單動向指數(以家數計),tw,tw_business_indicators_details,外銷訂單動向指數(以家數計),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:貨幣總計數 M1B(百萬元),tw,tw_business_indicators_details,貨幣總計數 M1B(百萬元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:股價指數(Index 1966=100),tw,tw_business_indicators_details,股價指數(Index 1966=100),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:工業及服務業受僱員工淨進入率,tw,tw_business_indicators_details,工業及服務業受僱員工淨進入率,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:建築物開工樓地板面積(千平方公尺),tw,tw_business_indicators_details,建築物開工樓地板面積(千平方公尺),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:半導體設備進口值(新台幣百萬元),tw,tw_business_indicators_details,半導體設備進口值(新台幣百萬元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:同時指標綜合指數(點),tw,tw_business_indicators_details,同時指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:同時指標不含趨勢指數(點),tw,tw_business_indicators_details,同時指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:工業生產指數(Index 2016=100),tw,tw_business_indicators_details,工業生產指數(Index 2016=100),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:電力(企業)總用電量(十億度),tw,tw_business_indicators_details,電力(企業)總用電量(十億度),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:製造業銷售量指數(Index 2016=100),tw,tw_business_indicators_details,製造業銷售量指數(Index 2016=100),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:批發、零售及餐飲業營業額(十億元),tw,tw_business_indicators_details,批發、零售及餐飲業營業額(十億元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:非農業部門就業人數(千人),tw,tw_business_indicators_details,非農業部門就業人數(千人),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:海關出口值(十億元),tw,tw_business_indicators_details,海關出口值(十億元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:機械及電機設備進口值(十億元),tw,tw_business_indicators_details,機械及電機設備進口值(十億元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:落後指標綜合指數(點),tw,tw_business_indicators_details,落後指標綜合指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:落後指標不含趨勢指數(點),tw,tw_business_indicators_details,落後指標不含趨勢指數(點),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:失業率,tw,tw_business_indicators_details,失業率,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:製造業單位產出勞動成本指數(Index 2016=100),tw,tw_business_indicators_details,製造業單位產出勞動成本指數(Index 2016=100),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:金融業隔夜拆款利率(年息百分比),tw,tw_business_indicators_details,金融業隔夜拆款利率(年息百分比),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:全體金融機構放款與投資(10億元),tw,tw_business_indicators_details,全體金融機構放款與投資(10億元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_business_indicators_details:製造業存貨價值(千元),tw,tw_business_indicators_details,製造業存貨價值(千元),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_etf_nav_daily:淨值,tw,tw_etf_nav_daily,淨值,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_etf_nav_daily:折溢價(%),tw,tw_etf_nav_daily,折溢價(%),taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:非製造業NMI,tw,tw_industry_nmi,非製造業NMI,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:商業活動,tw,tw_industry_nmi,商業活動,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:新增訂單,tw,tw_industry_nmi,新增訂單,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:人力僱用,tw,tw_industry_nmi,人力僱用,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:供應商交貨時間,tw,tw_industry_nmi,供應商交貨時間,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:存貨,tw,tw_industry_nmi,存貨,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:採購價格,tw,tw_industry_nmi,採購價格,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:未完成訂單,tw,tw_industry_nmi,未完成訂單,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:服務輸出出口,tw,tw_industry_nmi,服務輸出出口,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:服務輸入進口,tw,tw_industry_nmi,服務輸入進口,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:服務收費價格,tw,tw_industry_nmi,服務收費價格,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:存貨觀感,tw,tw_industry_nmi,存貨觀感,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_nmi:未來六個月展望,tw,tw_industry_nmi,未來六個月展望,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:製造業PMI,tw,tw_industry_pmi,製造業PMI,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:新增訂單數量,tw,tw_industry_pmi,新增訂單數量,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:生產數量,tw,tw_industry_pmi,生產數量,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:人力僱用數量,tw,tw_industry_pmi,人力僱用數量,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:供應商交貨時間,tw,tw_industry_pmi,供應商交貨時間,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:存貨,tw,tw_industry_pmi,存貨,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:客戶存貨,tw,tw_industry_pmi,客戶存貨,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
tw_industry_pmi:原物料價格,tw,tw_industry_pmi,原物料價格,taiwan macro,P1,augment,regime_context,"freshness, low_frequency_alignment",False,regime and macro context
